;道床・枕木,,,
CreateMeshBuilder,,,
AddVertex,3.95,-0.75,25.1
AddVertex,1.05,-0.15,25.1
AddVertex,-1.05,-0.16,25.1
AddVertex,4.0246,-0.75,20.0914
AddVertex,1.126,-0.15,20.0032
AddVertex,-0.9731,-0.16,19.9394
AddVertex,4.2484,-0.75,15.1873
AddVertex,1.3538,-0.15,15.011
AddVertex,-0.7423,-0.16,14.8834
AddVertex,4.6212,-0.75,10.2923
AddVertex,1.7333,-0.15,10.0281
AddVertex,-0.358,-0.16,9.8368
AddVertex,5.1426,-0.75,5.4108
AddVertex,2.2641,-0.15,5.059
SetTextureCoordinates,7,0.07,0,
SetTextureCoordinates,8,0.07,0.5,
SetTextureCoordinates,9,0.93,0.5,
SetTextureCoordinates,10,0.93,1
SetTextureCoordinates,11,0.07,1
SetTextureCoordinates,12,0.07,1.5
SetTextureCoordinates,13,0.93,1.5

;レール側面,,,
CreateMeshBuilder,,,
AddVertex,0.7371,-0.15,17.5345
AddVertex,0.7371,-0.005,17.5345
AddVertex,0.8727,-0.005,14.9818
AddVertex,0.8727,-0.15,14.9818
AddVertex,1.2533,-0.15,9.9842
AddVertex,1.2533,-0.005,9.9842
AddVertex,1.7856,-0.005,5.0005
AddVertex,1.7856,-0.15,5.0005
AddVertex,2.469,-0.15,0.0366
AddVertex,2.469,-0.005,0.0366,
AddVertex,3.2261,-0.005,-4.9058,
AddVertex,3.2261,-0.15,-4.9058,
AddVertex,0.568,-0.15,5.6133,
AddVertex,0.568,-0.005,5.6133,
AddVertex,0.658,-0.005,4.8627,
AddVertex,0.658,-0.15,4.8627,
AddVertex,1.3461,-0.15,-0.1354,
AddVertex,1.3461,-0.005,-0.1354,
AddVertex,2.1032,-0.005,-5.0778,
AddVertex,2.1032,-0.15,-5.0778,
AddFace2,0,1,2,3
AddFace2,5,4,3,2
AddFace2,4,5,6,7
AddFace2,9,8,7,6
AddFace2,8,9,10,11
AddFace2,12,13,14,15
AddFace2,17,16,15,14
AddFace2,16,17,18,19
GenerateNormals,,,,
LoadTexture,Rail.bmp,,,
SetTextureCoordinates,0,5,0.95,
SetTextureCoordinates,1,5,0,
SetTextureCoordinates,2,4,0,
SetTextureCoordinates,3,4,0.95,
SetTextureCoordinates,4,3,0.95,
SetTextureCoordinates,5,3,0,
SetTextureCoordinates,6,2,0,
SetTextureCoordinates,7,2,0.95,
SetTextureCoordinates,8,1,0.95,
SetTextureCoordinates,9,1,0,
SetTextureCoordinates,10,0,0,
SetTextureCoordinates,11,0,0.95
SetTextureCoordinates,12,1.4,0.95
SetTextureCoordinates,13,1.4,0
SetTextureCoordinates,14,1.2,0
SetTextureCoordinates,15,1.2,0.95
SetTextureCoordinates,16,1,0.95
SetTextureCoordinates,17,1,0
SetTextureCoordinates,18,0,0
SetTextureCoordinates,19,0,0.95

;レール側面（ウイング側）,,,
CreateMeshBuilder,,,
AddVertex,-0.4,-0.005,17.5345
AddVertex,-0.4,-0.15,17.5345
AddVertex,-0.2612,-0.15,14.9127
AddVertex,-0.2612,-0.005,14.9127
AddVertex,0.122,-0.005,9.8807,
AddVertex,0.122,-0.15,9.8807,
AddVertex,0.415,-0.15,6.9619,
AddVertex,0.415,-0.005,6.9619,
AddVertex,0.415,-0.005,6,
AddVertex,0.415,-0.15,6,
AddFace2,3,2,1,0
AddFace2,2,3,4,5
AddFace2,7,6,5,4
AddFace2,6,7,8,9
GenerateNormals,,,,
LoadTexture,Rail.bmp,,,
SetTextureCoordinates,0,4,0,
SetTextureCoordinates,1,4,0.95,
SetTextureCoordinates,2,3,0.95,
SetTextureCoordinates,3,3,0,
SetTextureCoordinates,4,2,0
SetTextureCoordinates,5,2,0.95
SetTextureCoordinates,6,1,0.95
SetTextureCoordinates,7,1,0
SetTextureCoordinates,8,0,0
SetTextureCoordinates,9,0,0.95

;レール側面（トングレール）,,,
CreateMeshBuilder,,,
AddVertex,-0.5325,-0.005,24
AddVertex,-0.5325,-0.15,24
AddVertex,-0.5,-0.15,20.2497
AddVertex,-0.5,-0.005,20.2497
AddVertex,-0.4,-0.005,17.5345
AddVertex,-0.4,-0.15,17.5345
AddVertex,0.603,0.005,24
AddVertex,0.603,-0.14,24,
AddVertex,0.6365,-0.14,20.2496,
AddVertex,0.6365,0.005,20.2496,
AddVertex,0.7371,-0.005,17.5345,
AddVertex,0.7371,-0.15,17.5345,
AddFace2,3,2,1,0
AddFace2,2,3,4,5
AddFace2,9,8,7,6
AddFace2,8,9,10,11
GenerateNormals,,,,
LoadTexture,Rail_D32.bmp,,,
SetTextureCoordinates,0,2,0,
SetTextureCoordinates,1,2,0.95,
SetTextureCoordinates,2,1,0.95,
SetTextureCoordinates,3,1,0,
SetTextureCoordinates,4,0,0,
SetTextureCoordinates,5,0,0.95,
SetTextureCoordinates,6,2,0,
SetTextureCoordinates,7,2,0.95,
SetTextureCoordinates,8,1,0.95,
SetTextureCoordinates,9,1,0,
SetTextureCoordinates,10,0,0,
SetTextureCoordinates,11,0,0.95,

;黒い部分,,,,
CreateMeshBuilder,,,,
AddVertex,-0.6,-0.14,24.1,
AddVertex,-0.6,-0.14,17.4,
AddVertex,0.8,-0.14,17.4,
AddVertex,0.85,-0.14,24.1,
AddFace,3,2,1,0
SetColor,0,0,0,128
GenerateNormals,,,,
LoadTexture,Point.bmp,,,
SetTextureCoordinates,0,1,0,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,0,1,
SetTextureCoordinates,3,1,1,
SetDecalTransparentColor,255,255,255,

;終端部,,,,
CreateMeshBuilder,,,,
Cube,0.9,0.1,0.07,
Rotate,1,0,0,90
Rotate,0,1,0,-8.71
Translate,2.5894,0.07,-4.5,
SetColor,48,32,32,

;暴進センサ,,,,
CreateMeshBuilder,,,,
AddVertex,-0.35,1.24,0,
AddVertex,0.35,1.24,0,
AddVertex,0.35,-0.16,0,
AddVertex,-0.35,-0.16,0,
AddFace,0,1,2,3
GenerateNormals,,,,
LoadTexture,Sensor.bmp,,,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,1,0,
SetTextureCoordinates,2,1,1,
SetTextureCoordinates,3,0,1,
SetDecalTransparentColor,0,0,0,
Rotate,0,1,0,-8.71
Translate,2.5894,0,-4.38,
