;;;;;‰º,,,
CreateMeshBuilder,,,
Cube,0.2,0.1,12.5
SetColor,200,210,220
GenerateNormals,,,
Translate,-2.9,-0.3,12.5

CreateMeshBuilder,,,
Cube,0.2,0.1,12.5
SetColor,200,210,220
GenerateNormals,,,
Translate,6.7,-0.3,12.5

CreateMeshBuilder,,,
Cube,5,0.2,0.2
SetColor,200,210,220
GenerateNormals,,,
Translate,1.9,-0.6,0.2

CreateMeshBuilder,,,
Cube,5,0.2,0.2
SetColor,200,210,220
GenerateNormals,,,
Translate,1.9,-0.6,5

CreateMeshBuilder,,,
Cube,5,0.2,0.2
SetColor,200,210,220
GenerateNormals,,,
Translate,1.9,-0.6,10

CreateMeshBuilder,,,
Cube,5,0.2,0.2
SetColor,200,210,220
GenerateNormals,,,
Translate,1.9,-0.6,15

CreateMeshBuilder,,,
Cube,5,0.2,0.2
SetColor,200,210,220
GenerateNormals,,,
Translate,1.9,-0.6,20

CreateMeshBuilder,,,
Cube,5,0.2,0.2
SetColor,200,210,220
GenerateNormals,,,
Translate,1.9,-0.6,24.8

;;;;;ã,,,
CreateMeshBuilder,,,
Cube,0.2,0.2,10
SetColor,200,210,220
GenerateNormals,,,
Translate,-2.5,6.3,12.5

CreateMeshBuilder,,,
Cube,0.2,0.2,10
SetColor,200,210,220
GenerateNormals,,,
Translate,6.3,6.3,12.5

CreateMeshBuilder,,,
Cube,4.4,0.2,0.2
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,1,0,0,-20.5
Translate,-2.5,2.95,8.75,

CreateMeshBuilder,,,,
Cube,0.2,3.7,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,1,0,0,20.5
Translate,-2.5,2.95,11.25,

CreateMeshBuilder,,,,
Cube,0.2,3.7,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,1,0,0,-20.5
Translate,-2.5,2.95,13.75,

CreateMeshBuilder,,,,
Cube,0.2,3.7,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,1,0,0,20.5
Translate,-2.5,2.95,16.25,

CreateMeshBuilder,,,,
Cube,0.2,3.7,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,1,0,0,-20.5
Translate,-2.5,2.95,18.75,

CreateMeshBuilder,,,,
Cube,0.2,3.7,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,1,0,0,19
Translate,-2.5,2.95,21.15,

CreateMeshBuilder,,,,
Cube,0.2,3.7,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,1,0,0,-20
Translate,-2.5,2.95,23.6,

CreateMeshBuilder,,,,
Cube,0.2,3.7,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,1,0,0,20
Translate,6.3,2.95,1.4,

CreateMeshBuilder,,,,
Cube,0.2,3.7,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,1,0,0,-19
Translate,6.3,2.95,3.85,

CreateMeshBuilder,,,,
Cube,0.2,3.7,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,1,0,0,20.5
Translate,6.3,2.95,6.25,

CreateMeshBuilder,,,,
Cube,0.2,3.7,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,1,0,0,-20.5
Translate,6.3,2.95,8.75,

CreateMeshBuilder,,,,
Cube,0.2,3.7,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,1,0,0,20.5
Translate,6.3,2.95,11.25,

CreateMeshBuilder,,,,
Cube,0.2,3.7,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,1,0,0,-20.5
Translate,6.3,2.95,13.75,

CreateMeshBuilder,,,,
Cube,0.2,3.7,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,1,0,0,20.5
Translate,6.3,2.95,16.25,

CreateMeshBuilder,,,,
Cube,0.2,3.7,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,1,0,0,-20.5
Translate,6.3,2.95,18.75,

CreateMeshBuilder,,,,
Cube,0.2,3.7,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,1,0,0,19
Translate,6.3,2.95,21.15,

CreateMeshBuilder,,,,
Cube,0.2,3.7,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,1,0,0,-20
Translate,6.3,2.95,23.6,

;;;;;ò,,,,
CreateMeshBuilder,,,
Cube,0.05,0.05,12.5
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.75,12.5

CreateMeshBuilder,,,
Cube,0.05,0.05,12.5
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.75,12.5

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,0.05

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,1.25

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,2.5

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,3.75

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,5

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,6.25

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,7.5

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,8.75

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,10

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,11.25

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,12.5

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,13.75

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,15

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,16.25

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,17.5

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,18.75

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,20

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,21.25

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,22.5

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,23.75

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,-3.05,0.3,24.95

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,0.05

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,1.25

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,2.5

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,3.75

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,5

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,6.25

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,7.5

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,8.75

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,10

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,11.25

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,12.5

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,13.75

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,15

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,16.25

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,17.5

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,18.75

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,20

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,21.25

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,22.5

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,23.75

CreateMeshBuilder,,,
Cube,0.05,0.5,0.05
SetColor,200,210,220
GenerateNormals,,,
Translate,6.85,0.3,24.95
